latitude,longitude,magnitude,depth,risk_level
38.2576,38.7755,4.3,10.0,Low
38.0237,37.5896,4.0,10.0,Low
39.3751,37.2314,4.3,6.669,Low
38.1445,37.8158,4.4,10.278,Low
38.2678,38.859,4.1,10.0,Low
38.5535,39.7334,5.1,10.0,Medium
38.3115,38.8059,6.0,10.0,High
38.8613,37.4935,4.0,10.0,Low
38.3732,39.1691,4.3,5.844,Low
38.0659,38.3812,4.1,10.0,Low
38.1048,38.6755,4.1,10.0,Low
38.0944,38.2356,4.2,5.0,Low
38.2274,38.1114,4.3,10.0,Low
38.2481,38.1166,4.1,5.196,Low
38.2446,37.7652,4.4,5.743,Low
38.0453,38.2744,4.0,10.0,Low
38.0834,38.5693,4.3,10.0,Low
38.1804,38.5248,4.2,9.144,Low
38.1969,38.5312,4.3,10.0,Low
38.0086,37.6577,4.3,10.0,Low
38.4393,39.3542,4.7,5.828,Medium
38.1973,37.4552,4.4,4.402,Low
38.0022,38.5391,4.2,16.002,Low
38.4922,37.2808,4.3,2.543,Low
38.2269,37.6572,4.4,10.0,Low
38.1238,38.4224,5.0,16.204,Medium
38.82,37.303,4.3,10.0,Low
38.1052,38.3765,4.1,10.0,Low
38.2618,38.7351,4.3,10.0,Low
38.3805,39.0214,4.2,10.0,Low
38.1995,38.0744,4.6,10.0,Medium
38.3501,37.6095,4.5,10.0,Low
38.1529,38.5763,4.7,10.0,Medium
38.0841,38.552,5.3,10.0,Medium
38.1772,38.749,4.5,10.0,Low
38.1561,38.6903,4.3,9.359,Low
38.2782,38.1622,4.3,10.0,Low
38.2125,38.1815,4.8,10.0,Medium
38.2878,38.2075,4.7,10.0,Medium
38.2665,38.2011,5.2,10.0,Medium
38.1363,38.4248,4.2,10.0,Low
38.1855,38.6542,4.2,4.946,Low
38.1644,37.162,4.1,10.0,Low
38.0788,37.2715,4.2,10.0,Low
38.5003,39.1965,4.2,9.959,Low
38.1122,38.3939,4.0,10.0,Low
38.1399,38.0173,4.1,10.0,Low
38.19,38.5957,4.4,10.0,Low
39.4591,37.0948,4.1,10.0,Low
38.0916,38.5909,4.0,10.0,Low
38.3533,37.7687,4.0,10.0,Low
38.0217,38.4005,4.5,10.0,Low
38.1582,38.5532,4.2,10.0,Low
38.3303,37.7144,4.2,10.0,Low
38.7636,37.134,4.2,7.476,Low
38.0275,37.3069,4.0,5.0,Low
38.4076,39.161,4.4,12.718,Low
38.1965,38.6816,4.0,8.37,Low
38.1221,38.5573,4.4,10.0,Low
38.0591,37.7701,4.1,10.0,Low
38.013,37.7709,4.3,10.0,Low
38.2368,38.0593,4.4,5.513,Low
38.039,37.0762,4.5,10.0,Low
38.0772,38.0427,4.3,10.0,Low
38.0581,37.1965,4.2,10.0,Low
38.1179,38.6785,4.4,10.0,Low
38.1188,38.6904,4.6,5.474,Medium
38.078,38.5946,4.3,10.648,Low
38.0554,38.4498,4.0,5.379,Low
38.0443,38.4499,4.3,10.0,Low
38.8412,37.3634,4.2,10.0,Low
38.197,37.2109,4.0,14.422,Low
38.0299,38.2134,4.2,2.86,Low
38.2434,38.2911,4.2,10.0,Low
38.2144,38.2773,5.2,10.0,Medium
38.0353,37.0903,4.3,10.0,Low
38.0367,37.067,4.4,6.703,Low
38.3654,37.4414,4.1,5.166,Low
38.0934,38.7162,4.5,10.0,Low
38.7865,37.3025,4.6,10.0,Medium
38.0035,37.7419,4.4,10.0,Low
38.0438,38.3872,4.1,9.136,Low
38.0395,37.8449,4.2,10.0,Low
38.0685,37.43,4.1,10.747,Low
38.1698,38.4896,4.2,5.935,Low
38.0175,37.3695,4.3,10.0,Low
38.6405,39.9601,4.4,7.501,Low
38.6331,39.9916,4.4,5.322,Low
38.6528,39.9381,4.2,13.941,Low
38.6907,39.9843,4.5,10.0,Low
38.6445,39.9175,4.7,10.0,Medium
38.2676,38.8212,4.2,10.0,Low
38.2354,38.1917,4.6,5.306,Medium
38.073,37.1651,4.0,5.16,Low
38.6273,39.642,4.4,10.0,Low
38.1997,37.8377,4.6,10.0,Medium
38.0817,38.5211,4.3,15.653,Low
38.5302,37.4908,4.5,5.0,Low
38.0849,37.166,4.4,0.343,Low
38.0402,38.589,4.3,13.42,Low
38.824,38.031,5.0,10.0,Medium
38.1339,38.2786,4.1,16.771,Low
38.0797,37.3193,4.4,7.67,Low
38.1156,38.5843,4.0,8.654,Low
38.1325,38.732,4.3,2.958,Low
38.8519,38.0757,4.5,10.0,Low
38.0281,38.1329,4.3,4.448,Low
38.0517,38.5848,4.2,10.0,Low
38.1788,38.5981,4.1,4.258,Low
38.1976,38.1375,4.4,10.0,Low
38.0757,38.1756,4.3,7.345,Low
38.0858,38.451,4.2,10.0,Low
38.1736,38.1714,4.7,10.0,Medium
38.1343,38.2167,4.4,10.0,Low
38.0605,38.6406,4.3,12.373,Low
38.1849,38.1997,4.3,15.513,Low
38.0951,38.4712,4.3,15.955,Low
38.3957,39.284,4.2,14.83,Low
38.2135,38.1703,4.0,10.0,Low
38.1972,38.1247,4.5,10.0,Low
38.0244,37.1589,4.4,10.0,Low
38.0396,38.5055,4.3,16.116,Low
38.8457,37.2766,4.1,10.0,Low
38.0268,37.7704,4.1,10.0,Low
38.0835,37.1939,4.1,14.197,Low
38.5889,39.9722,4.6,10.0,Medium
38.2171,38.263,4.5,15.409,Low
38.3061,38.1915,4.6,16.052,Medium
38.0164,38.57,5.3,12.988,Medium
38.1372,38.537,4.3,15.974,Low
38.0311,37.5813,4.4,16.18,Low
38.0971,38.6398,5.4,9.063,Medium
38.3144,37.5808,4.5,5.787,Low
38.0668,38.1413,4.1,17.718,Low
38.6041,37.5154,4.2,15.268,Low
38.0265,37.5093,4.1,10.0,Low
38.1918,38.1778,4.4,8.296,Low
38.072,37.034,4.9,10.235,Medium
38.2106,38.2511,4.8,10.0,Medium
38.2636,37.9916,4.9,10.0,Medium
38.0887,38.6825,4.1,10.0,Low
38.0516,38.1927,4.4,9.27,Low
38.0086,37.2784,4.4,10.0,Low
38.0322,37.3231,4.1,10.0,Low
38.0881,37.8449,4.5,10.0,Low
38.0112,37.4148,4.5,9.152,Low
38.2354,39.1175,4.3,10.0,Low
38.0709,37.5505,4.2,10.0,Low
38.19,38.1756,5.4,7.43,Medium
38.0378,37.8354,4.3,10.0,Low
38.0706,38.404,4.4,10.0,Low
38.1782,37.7439,4.5,10.0,Low
38.0365,37.8572,4.5,10.0,Low
38.2079,37.8768,4.3,10.0,Low
38.0166,37.7013,5.3,10.0,Medium
38.2669,38.3801,4.3,10.0,Low
38.0367,37.3789,4.4,10.761,Low
38.0384,37.371,5.0,16.904,Medium
38.0972,38.2339,4.9,14.471,Medium
38.0509,37.5686,4.7,15.351,Medium
38.016,37.7225,4.5,16.818,Low
38.1471,38.0506,4.3,16.478,Low
38.1794,37.955,4.1,11.962,Low
38.0274,37.7493,4.1,15.64,Low
38.6244,37.3766,4.3,10.0,Low
38.248,38.1847,5.7,10.0,High
38.034,37.7967,4.6,11.982,Medium
38.0249,37.8023,5.8,10.0,High
38.0315,38.0984,6.0,10.0,High
38.0106,37.1962,7.5,7.432,Critical
38.8229,39.4835,4.4,16.043,Low
38.0402,38.2553,4.5,11.354,Low
38.0564,38.2173,4.5,10.0,Low
38.1199,38.3761,4.4,10.0,Low
38.0957,38.2361,4.6,15.345,Medium
38.0053,38.042,4.4,10.0,Low
38.0197,38.3054,4.1,10.0,Low
38.1845,38.5342,5.0,16.416,Medium
38.1847,38.6102,4.4,9.958,Low
38.1656,38.65,4.8,16.431,Medium
38.2368,38.5132,4.2,9.221,Low
38.0773,38.5775,4.4,16.819,Low
38.1446,38.558,4.3,12.514,Low
38.0715,38.4951,4.3,17.34,Low
38.1742,38.482,4.7,16.696,Medium
38.1475,38.435,4.1,14.043,Low
38.8297,38.8005,4.4,14.19,Low
38.1084,38.495,4.4,17.891,Low
38.1562,38.5195,4.4,14.253,Low
38.2407,38.7424,4.8,15.123,Medium
38.4311,39.156,4.7,10.0,Medium
38.3019,39.0543,4.0,10.0,Low
39.1434,37.7879,4.4,8.07,Low
38.2131,38.7501,4.0,10.0,Low
38.1155,38.6617,5.3,10.0,Medium
38.1754,38.4545,4.2,7.93,Low
38.1991,38.7832,4.8,7.0,Medium
38.4368,39.6178,4.1,6.77,Low
38.3881,39.2457,4.2,10.0,Low
38.2698,39.0769,4.4,5.0,Low
38.4563,39.2302,5.5,9.0,Medium
38.4297,39.2157,4.1,10.0,Low
38.1793,38.6406,4.6,10.0,Medium
38.6773,38.0409,4.2,5.0,Low
38.162,38.639,4.2,2.1,Low
38.1737,38.676,4.2,10.0,Low
38.0618,38.7769,4.7,10.0,Medium
38.2374,38.7315,4.5,10.0,Low
38.2287,38.7559,4.3,10.0,Low
38.2706,38.8458,4.0,10.0,Low
38.1878,38.698,5.6,10.0,High
38.2224,38.7249,4.0,5.56,Low
38.1679,38.5587,4.0,10.0,Low
38.1382,38.5409,4.1,10.0,Low
38.2379,38.7587,5.1,10.0,Medium
38.3148,39.0299,4.2,10.0,Low
38.417,39.173,4.3,10.0,Low
38.3915,39.0729,5.2,10.0,Medium
38.1972,38.8481,4.1,5.0,Low
38.3449,39.2773,4.5,10.0,Low
38.2294,38.685,4.6,10.0,Medium
38.3489,38.7972,5.0,10.0,Medium
38.3417,39.1144,4.3,10.0,Low
38.2572,38.6898,4.0,6.99,Low
38.4874,39.1359,4.3,10.0,Low
38.3727,39.2739,4.2,10.0,Low
38.4961,39.3382,4.7,10.0,Medium
38.3425,39.156,4.3,5.0,Low
38.2467,38.7957,4.4,10.0,Low
38.3906,39.177,4.4,10.0,Low
38.3483,39.1488,4.3,10.0,Low
38.3615,39.1096,5.1,10.0,Medium
38.2019,38.7768,4.5,10.0,Low
38.2892,38.8341,4.3,10.0,Low
38.3409,39.2769,4.5,10.0,Low
38.2318,38.7294,4.2,10.0,Low
38.3075,39.1257,4.4,3.5,Low
38.3425,39.1165,4.0,10.0,Low
38.4605,39.1847,4.2,10.0,Low
38.3109,39.1169,4.1,10.0,Low
38.4257,39.1157,4.3,10.0,Low
38.3608,39.0961,4.2,10.0,Low
38.4237,39.1443,4.3,10.0,Low
38.2696,38.7109,4.4,10.0,Low
38.5045,39.205,4.3,10.0,Low
38.4263,39.0449,4.3,10.0,Low
38.4178,39.0847,4.4,10.0,Low
38.4264,39.1881,4.8,10.0,Medium
38.4312,39.0609,6.7,10.0,Critical
38.2975,39.0277,4.9,10.0,Medium
39.381,39.8208,4.3,10.0,Low
38.6972,38.0712,4.5,10.0,Low
38.7376,38.0875,4.2,10.0,Low
38.3002,39.1625,5.2,10.0,Medium
38.69,38.0702,4.6,10.0,Medium
38.7108,38.0339,4.4,10.0,Low
38.1445,38.8277,4.2,14.67,Low
38.2847,37.1456,4.0,10.0,Low
38.5214,39.7883,4.5,8.72,Low
38.629,38.0224,4.0,11.88,Low
38.7613,37.8137,4.2,10.0,Low
38.8387,37.875,4.4,5.0,Low
38.8236,37.7358,4.9,10.0,Medium
38.179,38.921,4.0,8.8,Low
